,2000  1  1   1 19 28.30  41.950N   20.630E   5.0 4.8
283,2000  6 29   3 30 40.80  37.540N   28.360E   5.0 4.0
284,2000  6 29  14 15 27.10  38.500N   26.070E  31.0 4.0
285,2000  6 30  17 37  6.00  37.960N   20.870E   5.0 3.7
286,2000  6 30  19 11 38.40  34.040N   25.200E  18.0 3.9
287,2000  6 30  19 27 32.10  39.690N   21.050E   3.0 3.8
288,2000  7  2  13 23  6.80  35.360N   27.030E   3.0 3.8
289,2000  7  3  11 55 39.30  36.260N   22.310E   5.0 3.7
290,2000  7  3  19 14 45.60  40.470N   26.080E  29.0 4.1
291,2000  7  4  19 44 19.90  40.590N   26.670E   5.0 3.7
292,2000  7  4  20 26 49.80  35.350N   27.050E   5.0 3.7
293,2000  7  5   2 19  5.10  35.830N   25.730E  10.0 3.7
294,2000  7  5  17 12 20.70  36.030N   21.980E   5.0 4.2
295,2000  7  5  23 20 40.60  40.320N   25.760E   5.0 4.2
296,2000  7  6   0 37 21.40  35.980N   28.040E   5.0 3.7
297,2000  7  6   6 36  9.10  36.240N   22.160E   5.0 3.8
298,2000  7  6   6 50 21.90  36.250N   22.010E   5.0 3.9
299,2000  7  9   0  1 44.70  41.160N   20.780E   5.0 3.7
300,2000  7  9   1  6 52.50  35.610N   27.460E  11.0 3.9
301,2000  7 10  10 32  3.10  35.630N   23.610E  23.0 3.9
302,2000  7 13   4 34 17.70  38.260N   26.370E   5.0 3.7
303,2000  7 13  11 13 49.80  36.010N   28.800E  34.0 4.1
304,2000  7 14  23 39 56.50  36.220N   22.110E   5.0 3.7
305,2000  7 15   4 53  0.90  37.440N   26.630E  38.0 3.7
306,2000  7 15  15 18  9.50  34.780N   25.170E   5.0 4.0
307,2000  7 15  21 37 48.90  36.150N   27.980E  10.0 3.8
308,2000  7 15  22  5 21.10  36.050N   27.300E   3.0 3.7
309,2000  7 16   2 39  2.30  35.950N   28.010E   5.0 3.7
310,2000  7 16   2 56 16.70  35.950N   28.150E  10.0 3.8
311,2000  7 16   5 13 15.70  36.690N   21.620E   5.0 3.7
312,2000  7 16   6 41 48.20  34.210N   23.670E   5.0 3.7
313,2000  7 16  13 32 19.50  35.820N   28.070E   5.0 3.7
314,2000  7 17   7  1 19.00  34.470N   26.460E  20.0 3.8
315,2000  7 17  10 49 19.50  37.760N   27.510E   5.0 3.8
316,2000  7 17  12 12 29.80  34.680N   26.460E  27.0 4.5
317,2000  7 20   4 10  7.80  39.310N   22.350E  89.0 3.8
318,2000  7 22   9 59 40.50  38.310N   27.930E  21.0 4.1
319,2000  7 22  20 15 39.90  37.710N   27.710E   5.0 3.7
320,2000  7 24   0  4 33.10  36.880N   27.970E   8.0 3.9
321,2000  7 25  19 33 59.00  37.310N   21.910E   5.0 4.8
322,2000  7 26  22  3 21.50  35.230N   26.910E  20.0 3.9
323,2000  7 27  15  6  6.20  34.710N   24.860E   5.0 3.7
324,2000  7 27  18  0 49.70  35.460N   27.440E   8.0 4.0
325,2000  7 28   1 55 35.20  37.830N   21.070E   5.0 3.9
326,2000  7 29   3 13 54.50  35.760N   28.280E   5.0 3.8
327,2000  7 31   5 49 22.40  34.910N   26.690E   5.0 3.7
328,2000  8  1  10 10 57.90  35.960N   21.770E   5.0 4.1
329,2000  8  1  17 33 47.60  35.760N   27.390E  11.0 3.7
330,2000  8  4  10 57 36.20  36.020N   27.970E   5.0 4.4
331,2000  8  4  23 45  0.90  35.840N   28.240E  10.0 3.8
332,2000  8  5   0  4 14.40  36.780N   26.040E  31.0 4.0
333,2000  8  5   2 56 15.00  35.070N   24.330E  14.0 4.0
334,2000  8  5  21 10 10.90  38.430N   26.800E   5.0 3.8
335,2000  8  6   3 23 57.90  39.690N   26.530E   6.0 3.9
336,2000  8  6   8  0 17.20  35.280N   27.170E   5.0 3.9
337,2000  8  6  12 20 21.70  35.540N   27.700E   2.0 4.1
338,2000  8  7   4 46 14.70  35.540N   27.710E   5.0 3.9
339,2000  8  7   6 21 44.50  36.570N   27.900E  27.0 3.7
340,2000  8  8   6  0 55.40  35.280N   27.870E   5.0 3.9
341,2000  8  8   6 10 10.40  36.060N   22.240E   5.0 3.8
342,2000  8  9  12  0  2.90  35.070N   26.600E   4.0 3.9
343,2000  8 10   2 49 40.40  34.170N   26.190E  30.0 3.8
344,2000  8 10  11  4 14.00  37.490N   21.980E   5.0 3.9
345,2000  8 10  23 59 21.90  38.920N   26.960E   5.0 3.9
346,2000  8 11   2 53 17.80  38.780N   26.360E  10.0 3.8
347,2000  8 14   1  7 59.50  37.880N   20.000E   5.0 4.1
348,2000  8 16  20 16 26.50  37.320N   28.360E  16.0 3.7
349,2000  8 19  13 10 51.20  35.050N   24.530E  23.0 3.7
350,2000  8 21   6 29 21.10  35.810N   28.300E   5.0 3.8
351,2000  8 21   6 42 10.80  38.700N   26.010E  32.0 3.7
352,2000  8 22   3 35 38.50  39.640N   23.950E   5.0 4.6
353,2000  8 22  15 52  3.40  34.530N   26.550E   5.0 4.1
354,2000  8 22  18 33  1.10  35.970N   28.000E   5.0 4.1
355,2000  8 23   1 33 45.80  35.910N   28.100E   5.0 3.8
356,2000  8 23  20  8 49.70  37.400N   28.060E  10.0 3.8
357,2000  8 24   1 20 38.60  35.460N   26.900E   3.0 3.7
358,2000  8 24  17 52 40.60  37.290N   26.930E  10.0 3.9
359,2000  8 25   3 35 24.50  37.760N   20.150E  13.0 3.7
360,2000  8 25   5  3 37.50  37.770N   27.510E  10.0 3.9
361,2000  8 25  17 51  1.50  38.440N   25.380E  38.0 3.7
362,2000  8 26  17 15  9.80  39.420N   26.140E   5.0 4.1
363,2000  8 26  19 59 24.20  39.380N   26.220E  10.0 3.7
364,2000  8 27   3 31 19.40  36.000N   27.980E   5.0 4.0
365,2000  8 27   5 24 30.00  36.350N   28.650E   2.0 3.7
366,2000  8 27   9  0  6.20  36.030N   28.170E  12.0 4.1
367,2000  8 28   9 55 39.00  34.510N   26.470E  29.0 4.0
368,2000  8 28  20 20 36.80  35.960N   28.020E   5.0 3.8
369,2000  8 28  21 19  1.10  35.890N   28.080E   5.0 3.8
370,2000  8 28  22  0  9.70  35.900N   28.070E   5.0 3.8
371,2000  8 30   1 14 10.00  35.570N   25.860E  37.0 4.1
372,2000  8 30   2 23 25.40  39.180N   25.790E  20.0 3.7
373,2000  8 30   6  6  4.50  36.680N   26.800E  10.0 3.7
374,2000  8 30   9 38 53.50  35.850N   28.690E  37.0 4.2
375,2000  8 30  13 58 22.00  34.290N   21.480E  37.0 4.0
376,2000  8 30  22 13 54.40  35.860N   28.200E   5.0 3.9
377,2000  8 31   3 17 31.50  35.700N   21.270E  32.0 4.3
378,2000  9  1   4 22 53.40  35.300N   22.620E  33.0 3.8
379,2000  9  4   5 52 31.10  35.970N   22.000E   5.0 4.0
380,2000  9  6  23 14 25.30  35.940N   26.230E 123.0 3.9
381,2000  9  7   4  5  1.50  37.020N   26.840E   5.0 3.8
382,2000  9  7   6 41 37.10  34.720N   25.000E   8.0 4.2
383,2000  9  7  21 50 15.90  35.000N   26.300E   5.0 4.3
384,2000  9  8   5 46 45.80  39.470N   28.000E   5.0 4.7
385,2000  9  8  13 17 58.80  39.490N   27.710E   5.0 3.7
386,2000  9  8  15  1  4.60  36.530N   25.490E  11.0 4.2
387,2000  9  8  19 32 58.90  39.390N   27.810E  18.0 3.7
388,2000  9  9   6 52 49.60  39.410N   27.720E   5.0 3.8
389,2000  9  9   8 18 50.20  39.440N   27.750E  13.0 4.0
390,2000  9  9  10 32 38.30  38.690N   25.900E  10.0 3.7
391,2000  9 12  16 28 41.20  39.400N   26.470E   6.0 3.9
392,2000  9 13   2 26 20.60  36.710N   27.230E   5.0 3.9
393,2000  9 14   1 20 49.50  38.150N   20.680E   5.0 3.8
394,2000  9 15   0 37 17.10  34.280N   25.110E  34.0 3.7
395,2000  9 15  18 22 25.50  36.350N   22.090E  16.0 3.7
